user_id;status_id;created_at;screen_name;text;source;display_text_width;reply_to_status_id;reply_to_user_id;reply_to_screen_name;is_quote;is_retweet;favorite_count;retweet_count;quote_count;reply_count;hashtags;symbols;urls_url;urls_t.co;urls_expanded_url;media_url;media_t.co;media_expanded_url;media_type;ext_media_url;ext_media_t.co;ext_media_expanded_url;ext_media_type;mentions_user_id;mentions_screen_name;lang;quoted_status_id;quoted_text;quoted_created_at;quoted_source;quoted_favorite_count;quoted_retweet_count;quoted_user_id;quoted_screen_name;quoted_name;quoted_followers_count;quoted_friends_count;quoted_statuses_count;quoted_location;quoted_description;quoted_verified;retweet_status_id;retweet_text;retweet_created_at;retweet_source;retweet_favorite_count;retweet_retweet_count;retweet_user_id;retweet_screen_name;retweet_name;retweet_followers_count;retweet_friends_count;retweet_statuses_count;retweet_location;retweet_description;retweet_verified;place_url;place_name;place_full_name;place_type;country;country_code;geo_coords;coords_coords;bbox_coords;status_url;name;location;description;url;protected;followers_count;friends_count;listed_count;statuses_count;favourites_count;account_created_at;verified;profile_url;profile_expanded_url;account_lang;profile_banner_url;profile_background_url;profile_image_url
97570999;1,59754E+18;2022-11-29T17:36:38Z;CaptSteveRasyid;@GrabID #Percaya Mimpimu Admin Grab mirip sama Ikura Yoasobi tidak sabar menggalau bareng mimin😭;Twitter for iPhone;88;1,59753E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597540028913422336;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
97570999;1,59754E+18;2022-11-29T17:23:44Z;CaptSteveRasyid;@GrabID #Percaya Mimpimu soalnya Admin Grab Baik 48 oy oy oy;Twitter for Android;52;1,59752E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597536781980663808;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
97570999;1,59754E+18;2022-11-29T17:37:13Z;CaptSteveRasyid;@GrabID #Percaya  Mimpimu Admin Grab mirip sama Ikura Yoasobi tidak sabar menggalau bareng mimin di #HITCJAKARTA  😭;Twitter for iPhone;107;1,59753E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya HITCJAKARTA;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597540174006976512;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
97570999;1,59754E+18;2022-11-29T17:25:17Z;CaptSteveRasyid;@GrabID #Percaya Mimpimu soalnya Admin Grab Baik 63;Twitter for Android;43;1,59752E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597537172151599104;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
97570999;1,59754E+18;2022-11-29T17:21:07Z;CaptSteveRasyid;@GrabID #Percaya Mimpimu soalnya Admin Grab Baik 28;Twitter for Android;43;1,59752E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597536123340828672;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
97570999;1,59754E+18;2022-11-29T17:23:21Z;CaptSteveRasyid;@GrabID #Percaya Mimpimu soalnya Admin Grab Baik 43;Twitter for Android;43;1,59752E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597536687038795776;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
97570999;1,59754E+18;2022-11-29T17:19:22Z;CaptSteveRasyid;@GrabID #Percaya Mimpimu soalnya Admin Grab Baik 2;Twitter for Android;42;1,59752E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597535685891612672;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
97570999;1,59754E+18;2022-11-29T17:21:03Z;CaptSteveRasyid;@GrabID #Percaya Mimpimu soalnya Admin Grab Baik 27;Twitter for Android;43;1,59752E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597536109080506368;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
97570999;1,59754E+18;2022-11-29T17:20:06Z;CaptSteveRasyid;@GrabID #Percaya Mimpimu soalnya Admin Grab Baik 13;Twitter for Android;43;1,59752E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597535867337576448;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
105758640;1,59755E+18;2022-11-29T18:30:11Z;kuspinasti1701;@GrabID #Percaya   Mimpimu Admin Grab mirip sama @richbrian;Twitter for Android;51;1,59753E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114 178690996;GrabID richbrian;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/kuspinasti1701/status/1597553503806705664;Kuspinasti;Indonesia;;https://t.co/jLGGsdRBR1;FALSE;667;1534;7;94145;11;2010-01-17T11:15:57Z;FALSE;https://t.co/jLGGsdRBR1;https://twitter.com/kuspinasti1701;;https://pbs.twimg.com/profile_banners/105758640/1483807180;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/503824561498886144/LJQH4eSo_normal.png
